Year,Month,Temp_Max,Temp_Min,Temp_Avg,Pressure,Wind_Speed,Humidity,Precipitation,Date,Avg_Dam_Level,Season,Flood_Severity,Flood_Event_Flag,Precip_Lag1,Dam_Lag1
2020,1,27.1874073,16.70238681,21.64385857,95897.7833,4.274722043,65.15935474,46.5156912,2020-01-01,60.27634761095833,Summer,46.5156912,1,13.25252291,60.125590920125
2020,2,28.29862811,17.1013668,22.38120259,95970.64744,4.161558491,61.96614499,17.5205964,2020-02-01,65.85687414095834,Summer,17.5205964,0,46.5156912,60.27634761095833
2020,3,26.2481035,15.28717055,20.32444982,96018.03286,3.61032377,64.36873863,14.47214962,2020-03-01,64.32524179675,Autumn,14.47214962,0,17.5205964,65.85687414095834
2020,4,23.37892251,12.06195631,17.40701813,96257.04285,3.373765729,61.82414715,18.64117259,2020-04-01,63.232495487166666,Autumn,18.64117259,0,14.47214962,64.32524179675
2020,5,21.84097268,10.07277138,15.52738283,96492.26994,3.08741909,62.33426777,21.65797426,2020-05-01,61.530215266791664,Autumn,21.65797426,0,18.64117259,63.232495487166666
2020,6,19.18291965,8.776044262,13.61163082,96528.54694,3.65234734,63.63945638,36.85532066,2020-06-01,60.4338385495,Winter,36.85532066,0,21.65797426,61.530215266791664
2020,7,19.00409107,6.932649371,12.63127537,96586.82884,3.646935949,60.5723704,45.39759256,2020-07-01,62.73819395429167,Winter,45.39759256,0,36.85532066,60.4338385495
2020,8,16.83959197,6.629584543,11.56496392,96463.2796,4.03490546,64.68472844,46.55878872,2020-08-01,71.85952770895834,Winter,46.55878872,1,45.39759256,62.73819395429167
2020,9,20.09963582,8.892198848,14.31606194,96339.5786,3.898436154,62.80380395,25.53712578,2020-09-01,74.11683988816667,Spring,25.53712578,0,46.55878872,71.85952770895834
2020,10,22.85374197,11.07208044,16.83783184,96264.58224,3.923509754,61.41092103,26.75184789,2020-10-01,76.051570910625,Spring,26.75184789,0,25.53712578,74.11683988816667
2020,11,24.02205632,13.04788462,18.36418278,95980.08686,4.381793718,60.32372299,33.16741877,2020-11-01,76.964713904625,Spring,33.16741877,0,26.75184789,76.051570910625
2020,12,26.47558136,14.95821447,20.43772596,95881.68825,4.181703807,61.03389327,16.84321342,2020-12-01,75.78885512,Summer,16.84321342,0,33.16741877,76.964713904625
2021,1,28.1257755,16.57528577,22.05765085,95776.98472,4.334344921,61.07677384,18.41564056,2021-01-01,73.074133751625,Summer,18.41564056,0,16.84321342,75.78885512
2021,2,27.41754138,15.8582094,21.33874273,95886.21432,4.042861536,59.77262941,14.3137789,2021-02-01,73.79293604004167,Summer,14.3137789,0,18.41564056,73.074133751625
2021,3,25.84317399,15.21058502,20.1163891,95875.31513,3.681626501,64.17943373,36.13763709,2021-03-01,69.59902461791667,Autumn,36.13763709,0,14.3137789,73.79293604004167
2021,4,25.0091867,13.40169531,18.73048565,96286.78355,3.206749764,62.6997458,9.887819453,2021-04-01,68.39447874958333,Autumn,9.887819453,0,36.13763709,69.59902461791667
2021,5,20.28104051,9.823831154,14.79615033,96305.28984,3.337993058,66.09246009,59.17525443,2021-05-01,65.48511195041667,Autumn,59.17525443,1,9.887819453,68.39447874958333
2021,6,19.10618772,8.986690775,13.83670261,96363.04343,3.681708613,65.22002142,41.19923273,2021-06-01,69.28553394766666,Winter,41.19923273,0,59.17525443,65.48511195041667
2021,7,16.58599406,5.84397283,10.8788016,96793.96319,3.770475281,63.74485289,44.05894213,2021-07-01,67.937518527125,Winter,44.05894213,0,41.19923273,69.28553394766666
2021,8,17.30245378,6.758212216,11.89576596,96469.64767,3.485483436,65.53889381,48.15668711,2021-08-01,79.72938425316667,Winter,48.15668711,1,44.05894213,67.937518527125
2021,9,20.32673778,9.008597918,14.42761774,96347.00803,3.924024718,61.58061191,10.02469175,2021-09-01,81.15271830091666,Spring,10.02469175,0,48.15668711,79.72938425316667
2021,10,22.43860764,11.00354721,16.65609583,96122.81363,4.142281292,60.60297915,46.0853673,2021-10-01,79.97511335891667,Spring,46.0853673,0,10.02469175,81.15271830091666
2021,11,23.15714852,12.66464591,17.82931909,96030.07366,4.1618758,62.75094425,37.89435495,2021-11-01,79.52340113716667,Spring,37.89435495,0,46.0853673,79.97511335891667
2021,12,24.37155204,14.60361267,19.21803681,95884.67177,4.054899403,66.93907805,57.43441181,2021-12-01,79.30989705179167,Summer,57.43441181,1,37.89435495,79.52340113716667
